forma_de_citar,licencia,registros,registros_mexico,doi
"Bentley A, Eifler M (2022). KUBI Mammalogy Collection. Version 26.57. University of Kansas Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/a3woj7 accessed via GBIF.org on 2022-07-07.",CC BY 4.0,52463,40213,https://doi.org/10.15468/a3woj7
"Ward, J. 2013. DECAF - AUTEC Beaked Whales - Multiple Sensors - DTag. Data downloaded from OBIS-SEAMAP (http://seamap.env.duke.edu/dataset/685) on yyyy-mm-dd. https://doi.org/10.15468/4tznh3 accessed via GBIF.org on 2022-07-07.",CC BY 4.0,51250,0,https://doi.org/10.15468/4tznh3
"López Vidal J.C., C. Elizalde Arellano, C. Y. Salas Rodríguez y C. Salazar Motolinía. 2019. Computarización de las colecciones de vertebrados terrestres de la Escuela Nacional de Ciencias Biológicas, IPN Fase 4. Instituto Politécnico Nacional. Escuela Nacional de Ciencias Biológicas. Bases de datos SNIB CONABIO_Mamíferos Proyectos No. KE005, CC002, BC004, Y013 y P020. Ciudad de México",CC BY 4.0,37913,37903,
"Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México",CC BY 4.0,27229,26900,
"Ceballos G. 2002. Actualización de la base de datos del Atlas Mastozoológico de México. Instituto de Ecología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyectos T009 y A003. México, D. F.",CC BY 4.0,25594,25550,
CONABIO. 2023. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México,CC BY-NC 4.0,23986,22660,
"iNaturalist contributors, iNaturalist (2022). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,23120,0,https://doi.org/10.15468/ab3s5x
"UMMZ Mammals Data Group, LSA IT A (2022). University of Michigan Museum of Zoology, Division of Mammals. Version 8.48. University of Michigan Museum of Zoology. Occurrence dataset https://doi.org/10.15468/dx3rcj accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,20132,11784,https://doi.org/10.15468/dx3rcj
CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México,CC BY-NC 4.0,19524,19522,
"Pantoja Peña G, Peñuela Salgado M M, García Loaiza L M, Sánchez Lalinde C, Reyes A, Cotes M P, Niño Reyes A, Acosta A, Mejía Londoño G D, Parra J P, Kairuz M P, Pinilla N, Palacios E, Zárrate Charry D A, Lemus L, Diaz Rodriguez A S, Gonzalez Coca M C, Yucuna E, Miraña R P, Silva Miraña N, Yepes Rodriguez A, Solarte J F, Martinez P E, Barrera Zambrano V A, Cabrera Ojeda C, Castro-Chingal J, Chacón Pacheco J J, Ballesteros Correa J, Ortiz Hoyos R D, Racero Casarrubia J, Ramírez Chaves H, Peralta N, Lopez Ordoñez J P, Toloza A, Beltrán C, Hernández D, Avellaneda F, Garcia F, Villamil J S, Zamora J, Rojas H K, Ardila Montaña M C, Hernández M, Raigoso M, Raigozo O, Cepeda W, Fernández Certuche M P, Gallego Carmona C A, Díaz Sanchez H M, González B, Valenzuela L, Forero Medina G, Grajales Suaza E, Agudelo Zapata F, González Arenas J V, Becerra Méndez A, Hernández Vélez C A, Jimenez G, Gómez Ayala A, Santamaría Castiblanco D, Lema Arias M C, Lizcano D J, Bonell W, Mejía Correa S, Mosquera F, Pardo L, González Maya J F, Paredes Casas C A, Rojano C, Ávila Ávilan R C, Parra Romero Á, Patiño Quiroz M F, Moreno Carrillo A G, Cruz Parrado K, Hernández Leal O F, Yanten Arevalo A V, Rodríguez D, Rodriguez S, López H, Quiñones A C, Rodriguez O J, Rodríguez Posada M E, Salamanca I, Salcedo Rivera G A, Cuello Alfaro F, Santana Tobar M A, Serna G P, Torres D A, Valencia Zapata D C, Valencia Mazo J D, Vargas L, Rodríguez A M, Concha I, Rodríguez Bolaños A, Rodriguez A, Otálora-Ardila A, Martínez A, Hurtado-Moreno A P, Gómez-Valencia B, Cruz-Rodríguez C A, Barragán-Barrera D C, Camelo D, Amórtegui-Hernández D, Zurc D, Rodríguez D, Morales-Martínez D M, Carolina Angulo D, Noguera E A, Trujillo F, Sánchez F, López-Arévalo H F, Pérez-Torres J, Calderón-Leyton J J, Rodríguez-Mahecha J V, Montoya J, Cardenas-Hincapie J S, Camila Machado M, Isabel Moreno M, Andrade-Erazo M J, Baptiste M P, Reyes-Amaya N, Farias-Curtidor N, Montenegro-Díaz O, García-R S, Defler T, Muñoz-Saba Y, Olaciregui C, Naranjo D, Meza Tilves K, Branch L C, Juliana Bedoya M, Murillo O, Carretero X (2021). Registros de especies priorizadas de mamíferos de Colombia, recopilados a partir de la información de fototrampeo. Version 1.3. Asociación Colombiana de Zoología. Occurrence dataset https://doi.org/10.15472/hy9nif accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,18938,0,https://doi.org/10.15472/hy9nif
